consumer_id,region_id,node_id_,act_date,deact_date,is_act
1,3,4,02-01-2020,03-01-2020,0
2,3,5,03-01-2020,17-01-2020,1
3,5,4,27-01-2020,18-02-2020,0
4,5,4,07-01-2020,19-01-2020,1
5,3,3,15-01-2020,23-01-2020,1
6,1,1,11-01-2020,06-02-2020,0
7,2,5,20-01-2020,04-02-2020,1
8,1,2,15-01-2020,28-01-2020,0
9,4,5,21-01-2020,25-01-2020,0
10,3,4,13-01-2020,14-01-2020,0
11,2,5,19-01-2020,25-01-2020,1
12,1,2,13-01-2020,14-01-2020,0
13,2,3,02-01-2020,14-01-2020,0
14,1,2,25-01-2020,25-01-2020,0
15,1,3,25-01-2020,08-02-2020,1
16,4,4,13-01-2020,18-01-2020,0
17,2,3,19-01-2020,27-01-2020,0
18,1,3,17-01-2020,15-02-2020,0
19,2,2,17-01-2020,06-02-2020,1
20,2,4,18-01-2020,09-02-2020,1
21,3,2,12-01-2020,25-01-2020,0
22,4,3,19-01-2020,18-02-2020,0
23,1,5,21-01-2020,15-02-2020,1
24,2,5,26-01-2020,14-02-2020,0
25,5,1,28-01-2020,10-02-2020,1
26,3,3,17-01-2020,25-01-2020,1
27,4,3,01-01-2020,22-01-2020,0
28,4,2,20-01-2020,13-02-2020,1
29,2,3,19-01-2020,31-01-2020,0
30,2,1,26-01-2020,06-02-2020,0
31,3,2,06-01-2020,13-01-2020,0
32,4,4,12-01-2020,14-01-2020,1
33,3,4,24-01-2020,17-02-2020,0
34,2,3,30-01-2020,18-02-2020,0
35,4,5,17-01-2020,15-02-2020,0
36,2,3,30-01-2020,19-02-2020,1
37,1,3,29-01-2020,04-02-2020,0
38,5,1,21-01-2020,14-02-2020,0
39,5,2,22-01-2020,23-01-2020,0
40,2,1,21-01-2020,17-02-2020,1
41,5,1,30-01-2020,26-02-2020,1
42,4,3,11-01-2020,16-01-2020,0
43,2,2,28-01-2020,25-02-2020,0
44,3,1,19-01-2020,09-02-2020,1
45,2,1,14-01-2020,08-02-2020,0
46,1,4,23-01-2020,26-01-2020,1
47,5,4,22-01-2020,26-01-2020,1
48,5,2,01-01-2020,18-01-2020,0
49,2,5,04-01-2020,09-01-2020,1
50,2,5,29-01-2020,06-02-2020,0
51,1,3,20-01-2020,02-02-2020,0
52,5,2,12-01-2020,26-01-2020,0
53,4,1,24-01-2020,29-01-2020,1
54,4,1,09-01-2020,29-01-2020,0
55,5,5,25-01-2020,07-02-2020,0
56,4,4,18-01-2020,20-01-2020,0
57,5,5,06-01-2020,28-01-2020,1
58,3,2,11-01-2020,31-01-2020,0
59,3,1,20-01-2020,03-02-2020,0
60,5,5,19-01-2020,20-01-2020,0
61,4,5,21-01-2020,26-01-2020,1
62,2,1,16-01-2020,11-02-2020,1
63,1,3,06-01-2020,01-02-2020,0
64,2,3,08-01-2020,24-01-2020,0
65,1,3,26-01-2020,17-02-2020,1
66,1,2,16-01-2020,06-02-2020,0
67,3,3,22-01-2020,14-02-2020,1
68,3,3,20-01-2020,18-02-2020,1
69,1,1,10-01-2020,09-02-2020,0
70,3,3,08-01-2020,22-01-2020,1
71,1,3,14-01-2020,31-01-2020,0
72,3,2,20-01-2020,16-02-2020,0
73,1,1,06-01-2020,24-01-2020,0
74,5,1,13-01-2020,06-02-2020,1
75,4,5,22-01-2020,30-01-2020,0
76,2,1,04-01-2020,03-02-2020,0
77,5,4,08-01-2020,16-01-2020,0
78,5,3,28-01-2020,29-01-2020,1
79,1,5,29-01-2020,05-02-2020,0
80,4,3,25-01-2020,16-02-2020,0
81,1,5,25-01-2020,04-02-2020,0
82,2,5,09-01-2020,01-02-2020,1
83,2,1,09-01-2020,01-02-2020,1
84,1,4,23-01-2020,06-02-2020,0
85,5,5,11-01-2020,26-01-2020,0
86,4,3,03-01-2020,25-01-2020,1
87,2,5,13-01-2020,03-02-2020,0
88,3,2,12-01-2020,03-02-2020,1
89,5,2,25-01-2020,02-02-2020,1
90,4,1,19-01-2020,08-02-2020,0
91,4,3,11-01-2020,21-01-2020,1
92,3,3,05-01-2020,29-01-2020,0
93,4,1,11-01-2020,21-01-2020,0
94,5,2,01-01-2020,25-01-2020,0
95,1,2,03-01-2020,21-01-2020,1
96,3,1,03-01-2020,20-01-2020,0
97,3,4,04-01-2020,30-01-2020,0
98,1,5,15-01-2020,28-01-2020,0
99,2,4,08-01-2020,30-01-2020,1
100,1,3,06-01-2020,15-01-2020,0
101,2,3,12-01-2020,19-01-2020,0
102,1,4,26-01-2020,28-01-2020,0
103,4,1,07-01-2020,20-01-2020,1
104,4,4,25-01-2020,12-02-2020,1
105,1,4,07-01-2020,19-01-2020,0
106,2,5,24-01-2020,21-02-2020,0
107,2,4,13-01-2020,07-02-2020,1
108,1,1,30-01-2020,06-02-2020,0
109,4,5,01-01-2020,31-01-2020,1
110,2,1,01-01-2020,07-01-2020,1
111,4,1,28-01-2020,20-02-2020,0
112,1,1,08-01-2020,28-01-2020,1
113,1,4,21-01-2020,31-01-2020,0
114,1,3,19-01-2020,23-01-2020,0
115,5,2,29-01-2020,26-02-2020,0
116,1,2,28-01-2020,29-01-2020,1
117,5,1,15-01-2020,24-01-2020,0
118,3,2,03-01-2020,01-02-2020,0
119,2,4,17-01-2020,06-02-2020,0
120,1,5,23-01-2020,15-02-2020,1
121,3,3,01-01-2020,23-01-2020,0
122,2,3,29-01-2020,01-02-2020,0
123,4,2,16-01-2020,20-01-2020,0
124,3,3,01-01-2020,04-01-2020,1
125,2,5,04-01-2020,26-01-2020,1
126,4,1,21-01-2020,02-02-2020,0
127,5,3,17-01-2020,15-02-2020,0
128,4,1,26-01-2020,25-02-2020,1
129,3,1,12-01-2020,10-02-2020,0
130,3,4,02-01-2020,21-01-2020,1
131,3,4,10-01-2020,28-01-2020,1
132,4,2,10-01-2020,28-01-2020,0
133,2,1,10-01-2020,17-01-2020,1
134,1,2,08-01-2020,28-01-2020,0
135,5,4,09-01-2020,28-01-2020,0
136,3,2,11-01-2020,16-01-2020,0
137,1,3,06-01-2020,13-01-2020,1
138,4,4,11-01-2020,28-01-2020,0
139,4,4,10-01-2020,28-01-2020,0
140,1,5,26-01-2020,10-02-2020,0
141,3,3,15-01-2020,29-01-2020,1
142,1,5,16-01-2020,24-01-2020,0
143,5,5,29-01-2020,05-02-2020,0
144,3,4,14-01-2020,13-02-2020,0
145,5,1,02-01-2020,25-01-2020,1
146,1,5,05-01-2020,24-01-2020,1
147,1,1,15-01-2020,12-02-2020,0
148,4,1,12-01-2020,14-01-2020,0
149,1,1,13-01-2020,25-01-2020,1
150,2,5,04-01-2020,18-01-2020,0
151,1,2,10-01-2020,26-01-2020,1
152,4,1,01-01-2020,15-01-2020,1
153,3,5,18-01-2020,13-02-2020,0
154,2,5,15-01-2020,22-01-2020,1
155,4,1,10-01-2020,07-02-2020,0
156,5,5,24-01-2020,13-02-2020,0
157,2,3,06-01-2020,24-01-2020,0
158,5,1,18-01-2020,28-01-2020,1
159,5,3,04-01-2020,26-01-2020,0
160,4,4,17-01-2020,23-01-2020,0
161,1,2,08-01-2020,08-01-2020,0
162,2,1,10-01-2020,17-01-2020,1
163,4,2,14-01-2020,31-01-2020,0
164,3,5,10-01-2020,21-01-2020,0
165,4,5,23-01-2020,02-02-2020,0
166,2,1,22-01-2020,24-01-2020,1
167,4,5,30-01-2020,03-02-2020,1
168,5,1,13-01-2020,12-02-2020,0
169,1,1,10-01-2020,19-01-2020,0
170,5,1,14-01-2020,22-01-2020,1
171,1,4,17-01-2020,30-01-2020,0
172,2,3,12-01-2020,31-01-2020,1
173,5,2,14-01-2020,10-02-2020,1
174,4,5,11-01-2020,02-02-2020,0
175,1,5,14-01-2020,11-02-2020,1
176,2,1,26-01-2020,23-02-2020,0
177,3,5,20-01-2020,05-02-2020,0
178,1,4,23-01-2020,22-02-2020,0
179,4,3,05-01-2020,03-02-2020,1
180,1,2,09-01-2020,19-01-2020,0
181,4,4,13-01-2020,04-02-2020,0
182,3,1,08-01-2020,22-01-2020,0
183,2,4,22-01-2020,04-02-2020,1
184,2,4,27-01-2020,03-02-2020,0
185,5,1,29-01-2020,27-02-2020,0
186,2,4,17-01-2020,25-01-2020,0
187,1,5,26-01-2020,31-01-2020,1
188,1,3,13-01-2020,07-02-2020,1
189,4,2,11-01-2020,15-01-2020,0
190,5,5,26-01-2020,18-02-2020,0
191,5,4,16-01-2020,21-01-2020,1
192,5,5,20-01-2020,26-01-2020,0
193,5,5,12-01-2020,25-01-2020,1
194,4,5,28-01-2020,25-02-2020,1
195,4,3,19-01-2020,07-02-2020,0
196,5,4,13-01-2020,09-02-2020,1
197,2,2,22-01-2020,02-02-2020,0
198,3,1,17-01-2020,08-02-2020,0
199,2,4,20-01-2020,30-01-2020,0
200,1,4,29-01-2020,09-02-2020,1
201,4,1,02-01-2020,18-01-2020,0
202,2,2,06-01-2020,17-01-2020,0
203,5,5,06-01-2020,17-01-2020,0
204,1,5,28-01-2020,30-01-2020,1
205,2,1,02-01-2020,19-01-2020,0
206,2,4,09-01-2020,12-01-2020,0
207,4,3,26-01-2020,09-02-2020,0
208,2,3,19-01-2020,24-01-2020,1
209,4,3,23-01-2020,30-01-2020,1
210,5,2,19-01-2020,27-01-2020,0
211,1,1,19-01-2020,12-02-2020,0
212,2,2,02-01-2020,01-02-2020,1
213,3,2,17-01-2020,22-01-2020,0
214,2,3,14-01-2020,24-01-2020,1
215,2,2,27-01-2020,11-02-2020,1
216,3,3,04-01-2020,12-01-2020,0
217,1,3,08-01-2020,14-01-2020,1
218,5,4,29-01-2020,22-02-2020,0
219,2,2,06-01-2020,15-01-2020,0
220,2,3,21-01-2020,08-02-2020,0
221,4,1,06-01-2020,31-01-2020,1
222,1,5,11-01-2020,16-01-2020,0
223,4,4,11-01-2020,28-01-2020,0
224,2,5,21-01-2020,03-02-2020,0
225,3,2,10-01-2020,01-02-2020,1
226,2,5,11-01-2020,26-01-2020,0
227,1,2,07-01-2020,11-01-2020,0
228,4,3,10-01-2020,08-02-2020,0
229,5,3,23-01-2020,24-01-2020,1
230,3,3,21-01-2020,10-02-2020,1
231,3,5,20-01-2020,03-02-2020,0
232,4,3,02-01-2020,17-01-2020,0
233,2,1,03-01-2020,28-01-2020,1
234,2,1,03-01-2020,24-01-2020,0
235,1,3,07-01-2020,08-01-2020,1
236,4,5,27-01-2020,18-02-2020,1
237,1,3,16-01-2020,23-01-2020,0
238,4,4,18-01-2020,06-02-2020,1
239,4,5,18-01-2020,22-01-2020,0
240,2,3,10-01-2020,03-02-2020,0
241,4,3,01-01-2020,24-01-2020,0
242,3,1,20-01-2020,16-02-2020,1
243,1,4,01-01-2020,03-01-2020,0
244,1,4,27-01-2020,22-02-2020,0
245,3,4,30-01-2020,13-02-2020,0
246,1,3,29-01-2020,13-02-2020,1
247,3,5,01-01-2020,11-01-2020,0
248,4,3,24-01-2020,17-02-2020,0
249,5,3,14-01-2020,09-02-2020,0
250,3,4,25-01-2020,31-01-2020,1
251,2,4,09-01-2020,10-01-2020,1
252,4,3,26-01-2020,06-02-2020,0
253,4,4,29-01-2020,23-02-2020,0
254,1,5,05-01-2020,14-01-2020,1
255,4,1,14-01-2020,29-01-2020,0
256,3,5,26-01-2020,10-02-2020,1
257,5,1,20-01-2020,10-02-2020,1
